car_id,brand_id,series_id,spec_id,guide_price,car_year,car_age,mileage,city_id,sale_price,brand_name,series_name,spec_name
1000203360,10021,2273,16270,13.0900,2012,4.0,3.67,110100,8.424,长安福特,福克斯,2012款 三厢 1.6L 自动 舒适型
1000612317,10021,2273,16269,14.3900,2012,6.0,6.12,110100,6.65,长安福特,福克斯,2012款 两厢 1.6L 自动 风尚型
1032528,10021,2273,11332,12.7800,2011,8.0,6.8,110100,5.1516,长安福特,福克斯,2011款 两厢 1.8自动时尚型
1067307,10021,2273,16275,15.1900,2012,5.0,5,110100,8.6,长安福特,福克斯,2012款 两厢 2.0L 手动 豪华运动型
1108583,10021,2273,16276,16.2900,2012,5.0,6.05,110100,9,长安福特,福克斯,2012款 两厢 2.0L 自动 豪华运动型
1191083,10021,2273,6990,13.4900,2009,9.0,6.68,110100,5,长安福特,福克斯,2009款 两厢 1.8AT 时尚型
1279680,10021,2273,11332,12.7800,2011,7.0,3.59,110100,5.6,长安福特,福克斯,2011款 两厢 1.8自动时尚型
1446292,10021,2273,16272,14.3900,2012,5.0,1.82,110100,7.3,长安福特,福克斯,2012款 三厢 1.6L 自动 风尚型
1778390,10021,2273,115852,13.6800,2015,3.0,.75,110100,8.6,长安福特,福克斯,2015款 两厢 1.6L 自动风尚型
2183148,10021,2273,115849,14.9800,2015,4.0,4.46,110100,9.7,长安福特,福克斯,2015款 两厢 Ecoboost180 自动 精英型
车源号：HC-16371404,10021,2273,100187,12.3800,2012,8.0,4.29,110100,4.9,长安福特,福克斯,2012款 经典款 1.8L 自动 时尚型
车源号：HC-17238389,10021,2273,16269,14.3900,2012,6.0,2.91,110100,6.07,长安福特,福克斯,2012款 两厢 1.6L 自动 风尚型
车源号：HC-23158999,10021,2273,16274,16.9900,2012,6.0,3.5,110100,6.2,长安福特,福克斯,2012款 三厢 2.0L 自动 旗舰型
车源号：HC-24483016,10021,2273,115852,13.6800,2015,4.0,1.14,110100,8.45,长安福特,福克斯,2015款 两厢 1.6L 自动风尚型
车源号：HC-24935542,10021,2273,16272,14.3900,2012,6.0,4.93,110100,5.5,长安福特,福克斯,2012款 三厢 1.6L 自动 风尚型
车源号：HC-25067907,10021,2273,16272,14.3900,2012,8.0,13.96,110100,5,长安福特,福克斯,2012款 三厢 1.6L 自动 风尚型
车源号：HC-26046866,10021,2273,16272,14.3900,2012,4.0,3.31,110100,8.7,长安福特,福克斯,2012款 三厢 1.6L 自动 风尚型
车源号：HC-31102573,10021,2273,115853,12.5800,2015,3.0,0.7,110100,8.9,长安福特,福克斯,2015款 两厢 1.6L 手动风尚型
车源号：HC-31795710,10021,2273,16272,14.3900,2012,6.0,2.19,110100,7.2,长安福特,福克斯,2012款 三厢 1.6L 自动 风尚型
车源号：HC-32465135,10021,2273,16269,14.3900,2012,7.0,10.3,110100,5.9,长安福特,福克斯,2012款 两厢 1.6L 自动 风尚型
车源号：HC-33926364,10021,2273,100187,12.3800,2012,6.0,6.1,110100,5.6,长安福特,福克斯,2012款 经典款 1.8L 自动 时尚型
车源号：HC-34284906,10021,2273,16269,14.3900,2012,4.0,5.7,110100,7.3,长安福特,福克斯,2012款 两厢 1.6L 自动 风尚型
车源号：HC-34346427,10021,2273,11332,12.7800,2011,10.0,6.6,110100,3.2,长安福特,福克斯,2011款 两厢 1.8自动时尚型
车源号：HC-35397057,10021,2273,16272,14.3900,2012,6.0,0.4,110100,7.5,长安福特,福克斯,2012款 三厢 1.6L 自动 风尚型
车源号：HC-35622118,10021,2273,16272,14.3900,2012,6.0,3.7,110100,6,长安福特,福克斯,2012款 三厢 1.6L 自动 风尚型
车源号：HC-35800047,10021,2273,16269,14.3900,2012,5.0,6.32,110100,6.7,长安福特,福克斯,2012款 两厢 1.6L 自动 风尚型
车源号：HC-37724880,10021,2273,16270,13.0900,2012,6.0,3.96,110100,5.89,长安福特,福克斯,2012款 三厢 1.6L 自动 舒适型
车源号：HC-38819891,10021,2273,16272,14.3900,2012,6.0,3.07,110100,6,长安福特,福克斯,2012款 三厢 1.6L 自动 风尚型
车源号：HC-39321761,10021,2273,120499,16.5800,2017,4.0,5.64,110100,11,长安福特,福克斯,2017款 两厢 Ecoboost180 手自一体 运动版
车源号：HC-39652324,10021,2273,16265,11.9900,2012,5.0,5.57,110100,6,长安福特,福克斯,2012款 三厢 1.6L 手动 舒适型
车源号：HC-39858284,10021,2273,11326,11.4800,2011,9.0,8.44,110100,3.99,长安福特,福克斯,2011款 三厢 1.8手动舒适型
车源号：HC-40171799,10021,2273,16267,13.0900,2012,6.0,4.28,110100,6.4,长安福特,福克斯,2012款 两厢 1.6L 自动 舒适型
